ST_abv,Year,Population,People over 25 with No Schooling,High School Diploma,GED,Associates Degree,Bachelor's Degree,Master's Degree,Professional Degree,Doctoral Degree,Name,state,No Schooling Rate,High School Education Rate,GED Rate,Associates Degree Rate,Bachelor's Degree Rate,Master's Degree Rate,Professional Degree Rate,Doctoral Degree Rate
OH,2012,11533561,63192,2403387,291496,593037,1207216,504926,122033,74264,Ohio,39,0.5479,20.8382,2.5274,5.1418,10.467,4.3779,1.0581,0.6439
OH,2013,11549590,65640,2392326,295839,607861,1227819,521105,122484,77052,Ohio,39,0.5683,20.7135,2.5615,5.2631,10.6308,4.5119,1.0605,0.6671
OH,2014,11560380,66013,2384432,297600,627729,1252463,537384,122786,81230,Ohio,39,0.571,20.6259,2.5743,5.43,10.8341,4.6485,1.0621,0.7027
OH,2015,11575977,68837,2369349,299967,643162,1278763,554000,124512,82753,Ohio,39,0.5947,20.4678,2.5913,5.556,11.0467,4.7858,1.0756,0.7149
OH,2016,11586941,68548,2352099,302041,658910,1310995,571298,126124,84458,Ohio,39,0.5916,20.2996,2.6067,5.6867,11.3144,4.9305,1.0885,0.7289
OH,2017,11609756,67808,2342883,303725,672658,1341204,591026,129078,87319,Ohio,39,0.5841,20.1803,2.6161,5.7939,11.5524,5.0908,1.1118,0.7521
PA,2012,12699589,81124,2885353,337023,649107,1439079,632138,161689,108971,Pennsylvania,42,0.6388,22.7201,2.6538,5.1112,11.3317,4.9776,1.2732,0.8581
PA,2013,12731381,83093,2883622,344363,661608,1468125,656458,162842,112239,Pennsylvania,42,0.6527,22.6497,2.7048,5.1967,11.5315,5.1562,1.2791,0.8816
PA,2014,12758729,85128,2872856,348332,677250,1502205,680881,163726,115989,Pennsylvania,42,0.6672,22.5168,2.7301,5.3081,11.7739,5.3366,1.2832,0.9091
PA,2015,12779559,86400,2855340,352649,698397,1535222,702244,165557,119014,Pennsylvania,42,0.6761,22.343,2.7595,5.465,12.0131,5.4951,1.2955,0.9313
PA,2016,12783977,87634,2831106,352143,712180,1578040,725919,168216,123775,Pennsylvania,42,0.6855,22.1457,2.7546,5.5709,12.3439,5.6784,1.3158,0.9682
PA,2017,12790505,88660,2811564,350222,724522,1621733,752518,171742,127226,Pennsylvania,42,0.6932,21.9816,2.7381,5.6645,12.6792,5.8834,1.3427,0.9947
WV,2017,1836843,10439,438270,86440,89742,155423,74597,16296,11105,West Virginia,54,0.5683,23.86,4.7059,4.8857,8.4614,4.0612,0.8872,0.6046
WV,2016,1846092,11212,437243,87728,87889,153834,72391,16701,10780,West Virginia,54,0.6073,23.6848,4.7521,4.7608,8.333,3.9213,0.9047,0.5839
WV,2012,1850481,11361,443920,84954,78939,142236,62806,16381,9995,West Virginia,54,0.6139,23.9894,4.5909,4.2659,7.6864,3.394,0.8852,0.5401
WV,2015,1851420,11071,442151,86404,85558,152377,69161,16676,10459,West Virginia,54,0.598,23.8817,4.6669,4.6212,8.2303,3.7356,0.9007,0.5649
WV,2013,1853619,10965,443556,84691,81983,146020,64710,16721,10046,West Virginia,54,0.5915,23.9292,4.569,4.4229,7.8776,3.491,0.9021,0.542
WV,2014,1853881,10946,444839,86466,82939,150406,66496,16266,10298,West Virginia,54,0.5904,23.995,4.6641,4.4738,8.113,3.5869,0.8774,0.5555
